testset real,testset predict
13.0,12.0
1.0,6.0135
20.3,18.15
19.3,19.9
14.2,15.149999999999999
20.8,20.65
14.0,14.05
19.0,19.0
-3.0,1.935
10.8,11.2
11.29,11.58
-6.084,-4.71
11.87,9.325
-7.0,-0.51
19.2,23.15
4.71,4.685
-6.99,-1.5
17.5,15.3
16.7,18.0
2.21,8.3345
-2.76,-3.88
5.89,5.955
13.1,12.15
5.2,12.9
-0.06,-2.42
9.5,12.2
-2.17,-0.51
2.77,5.705
-2.02,8.525
11.8,-0.705
11.35,14.375
-4.19,-3.88
18.9,22.85
-6.8,-1.5
23.4,14.045
-4.2,-5.0
14.2,20.29
14.6,14.7
17.4,14.375
12.8,12.600000000000001
13.3,21.950000000000003
13.8,13.25
4.3,14.045
1.0,0.75
14.3,20.025
-4.2,-3.98
11.6,10.100000000000001
0.2,-0.5
6.0,8.64
15.6,17.8
0.708,12.085
15.4,15.2
25.8,23.15
11.6,14.045
17.5,7.7
18.3,18.15
-17.46666667,-6.333333335
20.3,21.295
17.6,22.145
14.8,15.2
0.17,7.495
-18.0,-10.05
12.8,14.05
9.4,7.834999999999999
22.49,20.2
20.6,20.509999999999998
-1.85,-0.5805
0.94,-0.5805
18.9,18.9
