trainset real,trainset predict
4.933333333,2.1301666665
12.8,12.600000000000001
0.497,6.9485
14.0,10.51
13.8,12.850000000000001
16.97,16.685
15.8,14.7
1.02,1.02
19.07,18.085
-6.0,-6.0
11.6,12.149999999999999
4.6,4.574999999999999
15.8,15.850000000000001
16.5,16.05
-10.77,-12.585
18.1,17.91
0.2,0.1
21.0,22.05
6.02,6.02
17.6,18.15
8.98,2.99
19.2,19.475
24.8,25.950000000000003
12.7,12.0
11.0,9.325
11.4,11.600000000000001
12.1,12.2
-16.86666667,0.6666666649999993
25.1,24.1
16.0,14.25
-0.4,-0.5805
6.74,12.085
23.1,22.05
4.9,6.65
12.9,12.350000000000001
5.47,7.834999999999999
16.8,21.950000000000003
12.5,14.25
18.23,8.718
23.5,23.8
-1.47,-0.705
19.0,19.0
4.5,4.55
-4.0,-1.49
15.6,16.05
16.8,15.7
8.8,10.065000000000001
15.3,15.3
18.5,22.85
0.0,0.75
5.47,7.834999999999999
4.3,5.3
10.48,10.5
17.5,14.8
15.0,7.7
11.8,12.55
0.0719,-2.96405
11.4,10.100000000000001
16.0,15.4
10.0,10.0
14.4,17.175
13.0,16.7
16.4,16.685
19.0,19.55
14.9,14.25
5.76,-3.62
10.0,10.0
4.233333333,5.6266666665
10.8,11.2
-5.0,-4.5
13.4,13.45
-4.0,-4.5
3.81,1.935
5.733,7.1498333335
6.04,6.04
10.0,7.45
-2.02,8.525
-13.41,1.0949999999999998
8.566666667,7.1498333335
13.7,14.75
-0.794,8.718
-3.1,-1.433
17.1,18.085
20.7,19.9
-5.0,-2.4
15.9,15.850000000000001
0.52,9.375
9.11,9.795
11.1,11.0
12.0,12.35
22.99,21.095
13.4,14.05
0.4,-2.3
20.1,20.4
0.4,-6.333333335
8.7,6.8
27.1,27.1
14.7,15.149999999999999
11.9,13.15
-5.0,-2.42
24.1,23.8
13.6,13.75
-12.0,-10.05
15.6,15.149999999999999
18.2,18.85
19.75,19.475
11.33,11.58
3.33,10.780000000000001
19.1,19.700000000000003
18.7,18.15
0.16,-2.42
17.6,18.15
11.37,14.085
4.7,6.0
2.201,2.5465
13.9,14.2
-16.0,-15.2
13.3,13.350000000000001
17.2,23.15
-13.06666667,-6.333333335
-0.761,-0.5805
12.4,12.600000000000001
5.89,5.955
1.5,0.75
12.0,12.35
1.51,0.255
17.5,17.8
21.3,20.25
-14.4,-12.585
2.892,2.5465
21.0,22.85
10.2,7.834999999999999
16.1,15.850000000000001
5.5,5.154999999999999
14.1,14.05
-1.0,-0.5
9.2,7.334999999999999
7.9,9.350000000000001
0.06,-6.503333335
10.5,11.5
8.4,6.65
6.02,6.02
-8.1,-10.05
0.234,-1.433
24.7,22.85
-5.2,-0.7050000000000001
12.5,12.6
9.7,9.77
-6.0,-6.0
12.86,12.684999999999999
12.3,12.100000000000001
21.6,18.6
-0.07,-4.035
9.84,9.84
-1.0,-0.51
13.3,12.55
15.3,15.3
-1.0,-3.5
6.23,6.135
11.7,13.25
3.79,8.595
12.7,12.35
11.35,14.375
14.0,12.684999999999999
20.4,20.65
11.98,12.245000000000001
11.83,11.58
1.02,1.02
21.4,21.009999999999998
9.84,9.84
12.51,12.684999999999999
20.27,20.225
21.33,20.509999999999998
17.43,12.085
21.2,20.91
-9.0,-3.5
7.3,6.0
20.12,17.26
4.55,4.574999999999999
-0.02,-0.51
19.2,20.1
10.3,8.64
6.0,3.03
11.3,12.0
0.045,5.4225
12.2,12.8
10.9,11.8
20.62,21.009999999999998
6.04,6.04
13.3,15.05
10.9,11.0
-3.24,7.495
14.0,14.05
-1.66,0.46499999999999997
4.56,4.555
-5.4,-10.3
-8.0,-4.035
0.1281,9.16405
4.81,4.685
14.6,13.55
-13.0,-5.205
6.98,8.64
11.9,12.850000000000001
15.8,16.3
19.95,17.175
29.1,23.15
20.0,19.35
14.8,15.2
19.69,20.509999999999998
12.1,12.899999999999999
23.9,23.7
14.8,15.2
11.2,11.5
12.9,12.75
13.7,12.8
-4.47,6.880000000000001
1.3,5.800000000000001
20.18,17.29
10.8,5.4225
10.9,11.8
13.729,10.2345
2.59,14.045
16.8,14.085
14.33,7.195
-3.0,2.99
19.6,19.4
25.5,14.045
13.7,12.75
-5.0,-3.88
6.3,5.3
13.5,13.45
14.5,14.2
12.5,11.5
-5.0,-2.51
11.8,13.9
7.8,4.655
15.0,9.65
-15.2,-10.3
17.72,17.91
15.6,18.6
14.6,14.25
10.8,9.350000000000001
9.0,7.465
20.9,20.65
7.65,9.325
4.3,7.949999999999999
5.93,6.79
-5.0,-2.3
17.4,14.375
10.4,-1.3333333349999998
20.3,19.700000000000003
27.1,27.1
1.0,14.045
13.4,13.350000000000001
-6.69,5.77
20.2,18.7
14.55,20.025
10.52,10.5
17.5,15.3
21.38,20.29
-0.673,2.1301666665
16.3,6.7700000000000005
2.0,0.4
-1.2,0.4
-1.0,-0.51
19.5,18.85
20.44,20.28
-16.5,-12.3
7.0,9.35
27.2,26.15
7.02,10.51
-2.76,-3.88
-9.02,-4.71
12.6,12.75
-7.56,-3.98
