n_neighbors,MAE
1,3.5069371981159416
2,3.215251207753623
3,3.361465378454106
4,3.682278985543478
5,4.033396135333334
6,4.141733494427537
7,4.252356107728778
8,4.465485507324276
9,4.449414385495975
10,4.50040289864203
11,4.401981993943346
12,4.335496497672705
13,4.4025697882642145
14,4.481963423129399
15,4.629140322138164
16,4.758293689685688
17,4.7576339017502125
18,4.65800609240177
19,4.56918527849199
20,4.513255000081884
21,4.460571589677709
22,4.442667479211462
23,4.387042029056711
24,4.401682850309783
25,4.4571060290510145
26,4.507609513256968
27,4.469383861220075
28,4.468818219530538
29,4.480078360881061
30,4.451020515358937
31,4.44067628181066
32,4.461287651024911
33,4.453721914858586
34,4.422408411535804
35,4.400870724692753
36,4.380470840097826
37,4.382874879280455
38,4.3774061403939735
39,4.383735872710145
40,4.4134900483525366
41,4.495303417042417
42,4.504372026736715
43,4.5078083923670365
44,4.515590843261857
45,4.589994675302093
46,4.662067044777254
47,4.739987809680234
48,4.8080827697654
49,4.8870687568183975
50,4.946180879267535
51,4.99980159140182
52,5.0732398179523415
53,5.111747425070549
54,5.209219806804348
55,5.274238647384189
56,5.323737120469203
57,5.384577396430969
58,5.470311236090205
59,5.530075247728567
