formula,original_formula,thermal_expansion,li ion conductivity
Li0.1053B0.0439Ga0.0088Ti0.0526P0.1579O0.6316,Li2.0B0.8333Ga0.1667Ti1.0P3O12,8.129335,18.478040812427235
Li0.0642Al0.0092Ti0.1009P0.1651O0.6605,Li1.1667Al0.0Al0.1667Ti1.8333P3O12,7.7087817,0.05864479668869763
Li0.0642Al0.0092Ti0.1009P0.1651O0.6605,Li1.1667Al0.1667Al0.0Ti1.8333P3O12,7.7087817,
Li0.0727Al0.0182Ti0.0909P0.1636O0.6545,Li1.3333Al0.0Al0.3333Ti1.6667P3O12,9.113234,0.13901476279895866
Li0.0727Al0.0182Ti0.0909P0.1636O0.6545,Li1.3333Al0.3333Al0.0Ti1.6667P3O12,9.113234,
Li0.0811Al0.0270Ti0.0811P0.1622O0.6486,Li1.5Al0.0Al0.5Ti1.5P3O12,9.155256,0.1777626426740682
Li0.0811Al0.0270Ti0.0811P0.1622O0.6486,Li1.5Al0.1667Al0.3333Ti1.5P3O12,9.155256,0.12239435894598132
Li0.0811Al0.0270Ti0.0811P0.1622O0.6486,Li1.5Al0.3333Al0.1667Ti1.5P3O12,9.155256,0.04633470784483111
Li0.0811Al0.0270Ti0.0811P0.1622O0.6486,Li1.5Al0.5Al0.0Ti1.5P3O12,9.155256,
Li0.0893Al0.0357Ti0.0714P0.1607O0.6429,Li1.6667Al0.0Al0.6667Ti1.3333P3O12,9.533785,0.1922335614264465
Li0.0893Al0.0357Ti0.0714P0.1607O0.6429,Li1.6667Al0.1667Al0.5Ti1.3333P3O12,9.533785,0.15878691972399112
Li0.0893Al0.0357Ti0.0714P0.1607O0.6429,Li1.6667Al0.5Al0.1667Ti1.3333P3O12,9.533785,0.041288897076203
Li0.0893Al0.0357Ti0.0714P0.1607O0.6429,Li1.6667Al0.6667Al0.0Ti1.3333P3O12,9.533785,
Li0.0973Al0.0442Ti0.0619P0.1593O0.6372,Li1.8333Al0.0Al0.8333Ti1.1667P3O12,9.533785,0.19779760012254763
Li0.0973Al0.0442Ti0.0619P0.1593O0.6372,Li1.8333Al0.3333Al0.5Ti1.1667P3O12,9.533785,0.1416530092418147
Li0.0973Al0.0442Ti0.0619P0.1593O0.6372,Li1.8333Al0.5Al0.3333Ti1.1667P3O12,9.533785,0.09635755354175726
Li0.0973Al0.0442Ti0.0619P0.1593O0.6372,Li1.8333Al0.8333Al0.0Ti1.1667P3O12,9.533785,
Li0.1053Al0.0526Ti0.0526P0.1579O0.6316,Li2.0Al0.0Al1.0Ti1.0P3O12,9.533785,0.0002953629302937636
Li0.1053Al0.0526Ti0.0526P0.1579O0.6316,Li2.0Al0.1667Al0.8333Ti1.0P3O12,9.533785,0.17684398918185937
Li0.1053Al0.0526Ti0.0526P0.1579O0.6316,Li2.0Al0.3333Al0.6667Ti1.0P3O12,9.533785,0.15401285867665698
Li0.1053Al0.0526Ti0.0526P0.1579O0.6316,Li2.0Al0.5Al0.5Ti1.0P3O12,9.533785,0.1266043019388066
Li0.1053Al0.0526Ti0.0526P0.1579O0.6316,Li2.0Al0.6667Al0.3333Ti1.0P3O12,9.533785,0.08515761015703267
Li0.1053Al0.0526Ti0.0526P0.1579O0.6316,Li2.0Al0.8333Al0.1667Ti1.0P3O12,9.533785,0.03294893177050728
Li0.1053Al0.0526Ti0.0526P0.1579O0.6316,Li2.0Al1.0Al0.0Ti1.0P3O12,9.533785,
Li0.1130Al0.0609Ti0.0435P0.1565O0.6261,Li2.1667Al0.0Al1.1667Ti0.8333P3O12,9.286814,0.022810672224017566
