testset real,testset predict
13.0,14.12737
1.0,5.3872833
20.3,19.101564
19.3,19.198141
14.2,14.512298
20.8,19.329283
14.0,14.155798
19.0,18.417337
-3.0,-4.3878374
10.8,10.903558
11.29,11.803898
-6.084,3.2170105
11.87,7.63586
-7.0,-3.011509
19.2,22.021547
4.71,4.926801
-6.99,-5.2467833
17.5,15.639015
16.7,19.660969
2.21,10.056034
-2.76,-2.512248
5.89,6.1001534
13.1,13.574076
5.2,9.373331
-0.06,-2.648435
9.5,12.230748
-2.17,-3.011509
2.77,4.823496
-2.02,-1.1411268
11.8,4.4109063
11.35,11.003109
-4.19,-2.2187836
18.9,15.402662
-6.8,-2.3286886
23.4,6.9889736
-4.2,3.8152494
14.2,19.55395
14.6,14.512298
17.4,15.812438
12.8,13.464698
13.3,14.575277
13.8,14.575674
4.3,6.9889736
1.0,0.14054343
14.3,13.5110855
-4.2,6.985647
11.6,11.748804
0.2,6.1393003
6.0,9.624935
15.6,14.482873
0.708,6.42752
15.4,14.575277
25.8,22.303078
11.6,6.9889736
17.5,13.826093
18.3,18.417337
-17.46666667,-12.359973
20.3,20.827047
17.6,20.827047
14.8,14.575277
0.17,8.795446
-18.0,-2.4560943
12.8,14.980454
9.4,8.369978
22.49,22.077501
20.6,20.827047
-1.85,7.9519916
0.94,-0.6033558
18.9,17.204739
