trainset real,trainset predict
4.933333333,6.696087
12.8,12.272028
0.497,0.69650465
14.0,12.969497
13.8,12.853226
16.97,17.35883
15.8,16.273388
1.02,1.350109
19.07,14.300901
-6.0,-6.7302566
11.6,11.436583
4.6,4.593454
15.8,15.593482
16.5,16.660652
-10.77,-12.246577
18.1,18.485106
0.2,0.31245956
21.0,21.24317
6.02,5.3688903
17.6,17.751333
8.98,8.895504
19.2,19.564224
24.8,23.846884
12.7,11.150356
11.0,12.2061825
11.4,12.866743
12.1,12.784597
-16.86666667,-12.32621
25.1,25.562218
16.0,14.872885
-0.4,-0.49828997
6.74,5.4337974
23.1,23.339798
4.9,8.377384
12.9,12.866743
5.47,8.234856
16.8,18.559692
12.5,14.872885
18.23,17.040092
23.5,23.66108
-1.47,-1.3208842
19.0,19.440681
4.5,4.593454
-4.0,-4.5944586
15.6,16.004797
16.8,16.838505
8.8,8.123255
15.3,15.728611
18.5,20.069094
0.0,-0.11797972
5.47,7.4690437
4.3,7.042743
10.48,10.887012
17.5,15.618868
15.0,15.390132
11.8,13.015991
0.0719,0.69650465
11.4,11.920629
16.0,16.068872
10.0,8.798842
14.4,17.642225
13.0,12.329435
16.4,15.917263
19.0,19.156935
14.9,14.872885
5.76,5.67801
10.0,8.798842
4.233333333,5.712863
10.8,11.089915
-5.0,-4.806789
13.4,13.484664
-4.0,-4.8493447
3.81,-0.96175355
5.733,4.9495487
6.04,5.3688903
10.0,8.377384
-2.02,-0.6326137
-13.41,-9.218177
8.566666667,4.9495487
13.7,13.453659
-0.794,1.4921259
-3.1,-1.4933078
17.1,17.26197
20.7,20.658438
-5.0,-5.163845
15.9,15.477303
0.52,-1.9179628
9.11,10.279191
11.1,10.672784
12.0,12.155755
22.99,22.48523
13.4,14.098664
0.4,0.66802317
20.1,20.350243
0.4,0.52309066
8.7,8.377384
27.1,23.96372
14.7,15.917263
11.9,11.41055
-5.0,-6.315796
24.1,24.038877
13.6,12.371189
-12.0,-13.677127
15.6,15.847196
18.2,18.042753
19.75,19.128017
11.33,10.623222
3.33,1.7653425
19.1,19.370401
18.7,18.37512
0.16,-0.16540323
17.6,18.37512
11.37,13.312685
4.7,7.6140695
2.201,4.2944093
13.9,13.786632
-16.0,-15.423727
13.3,11.897552
17.2,22.593952
-13.06666667,-10.831797
-0.761,0.66824466
12.4,14.098664
5.89,5.984398
1.5,2.4094975
12.0,12.843268
1.51,-0.19799395
17.5,17.648201
21.3,20.612625
-14.4,-12.246577
2.892,4.2944093
21.0,21.670908
10.2,8.741569
16.1,15.847196
5.5,4.593454
14.1,14.026578
-1.0,0.48182935
9.2,8.234856
7.9,8.572404
0.06,-0.23037346
10.5,11.220175
8.4,8.377384
6.02,5.3688903
-8.1,-8.718419
0.234,-1.9083183
24.7,24.038877
-5.2,-1.9004474
12.5,13.186921
9.7,8.273534
-6.0,-6.1335382
12.86,13.311913
12.3,12.255665
21.6,19.470566
-0.07,-3.0471478
9.84,8.273534
-1.0,0.9049199
13.3,13.015991
15.3,15.728611
-1.0,-1.1019156
6.23,6.4179316
11.7,11.561969
3.79,2.7890692
12.7,12.906393
11.35,12.221056
14.0,13.312685
20.4,19.389502
11.98,10.926213
11.83,11.446222
1.02,1.350109
21.4,20.838686
9.84,8.273534
12.51,11.747241
20.27,19.864275
21.33,20.749407
17.43,14.949317
21.2,21.103268
-9.0,-7.452477
7.3,7.6140695
20.12,20.773855
4.55,4.593454
-0.02,-1.6794391
19.2,20.81386
10.3,12.00925
6.0,4.540119
11.3,10.223114
0.045,0.69650465
12.2,11.123369
10.9,10.262386
20.62,20.564379
6.04,5.3688903
13.3,14.098664
10.9,10.043798
-3.24,-3.4119954
14.0,13.937967
-1.66,0.23073833
4.56,4.593454
-5.4,-10.497304
-8.0,-3.0471478
0.1281,-0.0994746
4.81,4.593454
14.6,14.554782
-13.0,-3.3036368
6.98,2.1873636
11.9,12.781997
15.8,14.098664
19.95,17.642225
29.1,23.214626
20.0,20.093855
14.8,14.656625
19.69,20.60719
12.1,11.982517
23.9,24.649551
14.8,14.693907
11.2,12.352326
12.9,12.65619
13.7,14.014966
-4.47,-5.6216097
1.3,8.74172
20.18,19.864275
10.8,7.904064
10.9,11.05056
13.729,14.554404
2.59,8.234856
16.8,13.312685
14.33,8.929308
-3.0,1.3559076
19.6,20.612625
25.5,8.234856
13.7,13.568248
-5.0,-3.016272
6.3,7.042743
13.5,13.18391
14.5,13.786632
12.5,12.310655
-5.0,-5.083967
11.8,10.207317
7.8,7.7860556
15.0,11.723884
-15.2,-10.497304
17.72,18.08311
15.6,17.500269
14.6,14.872885
10.8,9.873723
9.0,7.361488
20.9,20.428375
7.65,7.1381593
4.3,4.082069
5.93,7.1657944
-5.0,-5.2974963
17.4,13.3778515
10.4,5.999671
20.3,20.093855
27.1,26.602451
1.0,8.234856
13.4,12.253433
-6.69,-0.5319782
20.2,18.569016
14.55,8.226663
10.52,11.753604
17.5,15.728611
21.38,20.217796
-0.673,-2.1357265
16.3,18.66799
2.0,1.957603
-1.2,0.20550807
-1.0,-1.6794391
19.5,19.12663
20.44,20.339863
-16.5,-10.215843
7.0,7.3319297
27.2,27.072796
7.02,7.9291067
-2.76,-2.4060645
-9.02,-7.6798387
12.6,12.634751
-7.56,-7.5840616
