learning_rate,MAE
0.01,5.977254853679296
0.02,4.602282912971828
0.03,4.020427210381575
0.04,3.767095905100599
0.05,3.610092084855783
0.06,3.5097265225723087
0.07,3.3554923965780548
0.08,3.367489014413556
0.09,3.3055217714401177
0.1,3.2974069053699924
0.11,3.284156024368423
0.12,3.308327986000751
0.13,3.287571075289656
0.14,3.2390008619717854
0.15,3.2816193283283113
0.16,3.2647248960738517
0.17,3.1143916792269986
0.18,3.2309225526051164
0.19,3.1795617820375126
0.2,3.1896438816825468
0.21,3.161808266854451
0.22,3.2771439182400623
0.23,3.159027046793259
0.24,3.2493264999757563
0.25,3.1164891820874687
0.26,3.0543656747225323
0.27,2.9969994687503583
0.28,3.309015010926681
0.29,3.0930415266308153
0.3,3.0177388722124228
0.31,3.0550012916573497
0.32,3.035144901239864
0.33,3.1283333019748896
0.34,3.092905772854099
0.35,3.1969996628800947
0.36,3.279291318515583
0.37,3.2465970617261406
0.38,3.0569145892829055
0.39,3.120680722791726
0.4,2.9785516463315926
0.41,3.0569608260398247
0.42,3.0923303219707035
0.43,3.0761579288594882
0.44,3.1639127068911264
0.45,3.226131689892809
0.46,3.271968478075482
0.47,3.1831288374494733
0.48,3.2472854040831676
0.49,3.3142227792209398
0.5,3.139322424849385
0.51,3.1869272595718208
0.52,3.243965817372298
0.53,3.182210764970115
0.54,3.2848773472366046
0.55,3.3062151407319487
0.56,3.287908550810633
0.57,3.1584591734397156
0.58,3.1969140022549
0.59,3.1974521260491233
0.6,3.3259339726650112
0.61,3.175382809724143
0.62,3.296081985717745
0.63,3.3228967046034428
0.64,3.270559607742999
0.65,3.2427601922237277
0.66,3.2774997970320094
0.67,3.3964981953463607
0.68,3.5363768404278124
0.69,3.2405796943009686
0.7,3.410711599448963
0.71,3.4050747734814366
0.72,3.3478217680718503
0.73,3.271632805577733
0.74,3.3546467425327293
0.75,3.3320334849656406
0.76,3.4574884341925736
0.77,3.4638555817833763
0.78,3.467499600544002
0.79,3.3124169734410533
0.8,3.473704782308522
0.81,3.5584429280814835
0.82,3.301713743156791
0.83,3.4410116474512615
0.84,3.339773947966782
0.85,3.4126232169491577
0.86,3.4706872490338574
0.87,3.406993605519197
0.88,3.469178848144447
0.89,3.63019615404726
0.9,3.168536368071679
0.91,3.2133113328776424
0.92,3.473301119267587
0.93,3.2458549933663234
0.94,3.4282654356339624
0.95,3.3594011566764985
0.96,3.3118215852704522
0.97,3.2445940371687785
0.98,3.426187706083138
0.99,3.4796301058224928
1.0,3.2766387446752416
