learning_rate,mse
1,56.11701809077529
2,38.99275949844586
3,32.39912844184994
4,29.84167939170045
5,28.21409944909516
6,27.026215974829938
7,25.543127852793205
8,25.44442173441119
9,24.886763907067582
10,24.734108427871597
11,25.150382063867063
12,24.74069692159012
13,24.734685693547558
14,23.307894057564532
15,25.21406456099744
16,24.326966166942206
17,22.73544725921526
18,25.08631710080555
19,23.70422949357275
20,24.371262464388597
21,23.81134143593942
22,26.68700211220673
23,23.78634955270759
24,24.666316632520456
25,22.971391056384316
26,22.069522785500244
27,22.49373337616934
28,26.167939903255103
29,23.837403617267125
30,22.73575674886265
31,22.33099757498564
32,21.92430779697619
33,23.90054764941008
34,22.597204863426388
35,24.799337780718368
36,25.02572989733377
37,24.837843964193052
38,22.89681861871088
39,24.290627221227137
40,20.800671576160738
41,22.791547815201426
42,22.95587345917939
43,22.18738101320646
44,22.13114827539665
45,26.84279365290911
46,25.292040817425484
47,23.59523338927256
48,24.72045005939162
49,25.46178715112462
50,22.73342415809846
51,25.32177419099954
52,24.293446569301846
53,24.52860992778555
54,25.680819015416052
55,26.61661973759049
56,29.097948589533654
57,24.60178098500392
58,26.461926856064917
59,26.55029014508668
60,29.3623257579071
61,26.48453251958883
62,28.89552320698754
63,30.01132406381347
64,28.3767975092978
65,28.206904831601786
66,27.184178695056335
67,28.69496116020479
68,32.131540103833075
69,25.804637767997427
70,29.842709114331083
71,29.39392311770515
72,29.454315474044428
73,25.746635402915654
74,27.423757926712476
75,25.664540902238624
76,29.828811295933182
77,29.62633097386635
78,28.33220704073567
79,27.37252602944621
80,27.992441644546695
81,31.413800637606343
82,26.071338738888347
83,28.529270251458342
84,25.66347850797082
85,27.130831629718973
86,28.141371669762332
87,26.181209885307492
88,27.413584039859952
89,33.14858149766057
90,23.727317119184416
91,23.925210268809096
92,27.25730018786805
93,25.146450344575467
94,26.215945065704066
95,24.27128880208926
96,24.575361290609536
97,25.275981041084414
98,26.866886923120642
99,27.203136500252704
100,24.822961219598913
